Time,Fc_Total,Fc_T1,Fc_T2,Fc_T3,Ac_Total,Ac_T1,Ac_T2,Ac_T3
10:30:00,7,4,3,0,8,6,1,1
10:45:00,16,9,5,2,18,11,5,2
11:00:00,32,18,10,4,34,22,8,4
11:15:00,59,32,18,9,57,35,13,9
11:30:00,74,41,23,10,72,44,18,10
11:45:00,92,52,27,13,98,59,25,14
12:00:00,102,56,31,15,109,68,26,15
12:15:00,102,56,30,16,107,63,27,17
12:30:00,93,51,27,15,100,58,26,16
12:45:00,83,46,25,12,85,50,23,12
13:00:00,83,45,26,12,85,50,22,13
13:15:00,76,42,23,11,83,47,24,12
13:30:00,75,42,24,9,77,46,22,9
13:45:00,71,40,22,9,73,45,19,9
14:00:00,75,41,22,12,79,45,21,13
14:15:00,71,40,23,8,70,44,18,8
14:30:00,74,42,23,9,74,47,17,10
14:45:00,79,45,23,11,82,53,18,11
15:00:00,79,45,25,9,81,53,19,9
15:15:00,80,45,24,11,82,52,19,11
15:30:00,86,47,26,13,,,,
15:45:00,94,51,30,13,,,,
16:00:00,114,63,35,16,,,,
16:15:00,126,71,37,18,,,,
16:30:00,144,78,44,22,,,,
16:45:00,151,85,46,20,,,,
17:00:00,178,100,54,24,,,,
17:15:00,197,107,60,30,,,,
17:30:00,208,117,61,30,,,,
17:45:00,215,119,67,29,,,,
18:00:00,234,132,73,29,,,,
18:15:00,236,130,69,37,,,,
18:30:00,236,133,74,29,,,,
18:45:00,230,125,72,33,,,,
19:00:00,229,126,69,34,,,,
19:15:00,214,120,65,29,,,,
19:30:00,198,107,58,33,,,,
19:45:00,177,98,54,25,,,,
20:00:00,165,90,50,25,,,,
20:15:00,150,84,44,22,,,,
20:30:00,130,71,41,18,,,,
20:45:00,119,65,37,17,,,,
21:00:00,105,57,31,17,,,,
21:15:00,87,49,27,11,,,,
21:30:00,71,40,22,9,,,,
21:45:00,56,31,17,8,,,,
22:00:00,48,26,14,8,,,,
22:15:00,37,21,12,4,,,,
22:30:00,25,14,8,3,,,,
22:45:00,17,10,6,1,,,,
23:00:00,10,6,3,1,,,,
23:15:00,7,4,2,1,,,,
23:30:00,4,2,1,1,,,,
23:45:00,3,2,1,0,,,,
00:00:00,2,1,1,0,,,,
00:15:00,2,1,1,0,,,,
