Time,Tier1_Ready,Tier2_Ready,Tier3_Ready
10:30:00,2,2,1
10:45:00,4,2,1
11:00:00,5,3,1
11:15:00,6,4,2
11:30:00,7,5,3
11:45:00,8,5,4
12:00:00,13,7,5
12:15:00,17,8,4
12:30:00,16,8,5
12:45:00,16,8,5
13:00:00,17,8,5
13:15:00,17,10,5
13:30:00,17,9,4
13:45:00,16,8,5
14:00:00,14,9,5
14:15:00,14,7,5
14:30:00,17,8,5
14:45:00,16,7,6
15:00:00,14,6,5
15:15:00,14,8,5
15:30:00,15,8,3
15:45:00,16,8,2
16:00:00,17,8,3
16:15:00,15,9,3
16:30:00,12,8,5
16:45:00,12,7,5
17:00:00,14,7,5
17:15:00,17,8,5
17:30:00,17,9,5
17:45:00,20,9,5
18:00:00,22,10,5
18:15:00,22,11,5
18:30:00,22,9,5
18:45:00,21,10,6
19:00:00,19,10,5
19:15:00,19,9,5
19:30:00,18,8,5
19:45:00,15,8,5
20:00:00,14,9,6
20:15:00,13,8,5
20:30:00,12,7,4
20:45:00,14,8,3
21:00:00,10,8,3
21:15:00,6,4,3
21:30:00,6,5,3
21:45:00,6,5,3
22:00:00,6,4,3
22:15:00,5,3,3
22:30:00,3,2,2
22:45:00,5,3,2
23:00:00,5,1,1
23:15:00,5,1,1
23:30:00,5,1,1
23:45:00,5,1,1
00:00:00,5,1,1
00:15:00,4,1,0
